1,0.00,1.00,0.00,0.00,0.00,0.00,taxonIdentification
1_s2,4.00,0.00,1.00,0.00,0.00,0.00,spMonitoring
103Sp11_plant_database_template,3.00,0.00,0.00,1.00,1.00,1.00,spOccurrence
12452,2.00,2.00,0.00,1.00,1.00,1.00,spOccurrence
13117,2.00,2.00,0.00,1.00,1.00,1.00,expObservation
13148_2017_344_MOESM8_ESM,1.00,1.00,1.00,2.00,0.00,0.00,geneData
14044,2.00,2.00,0.00,1.00,1.00,1.00,spMonitoring
1471_2105_10_s11_s8_s2,1.00,0.00,0.00,0.00,1.00,0.00,taxonIdentification
1471_2148_11_342_s1,3.00,0.00,0.00,0.00,0.00,0.00,geneData
1471_2148_5_66_S3,2.00,0.00,0.00,0.00,0.00,0.00,spMonitoring
1471_2148_9_145_S5,1.00,0.00,0.00,0.00,0.00,3.00,spOccurrence
1471_2164_15_s12_s11_s1,1.00,1.00,0.00,1.00,1.00,0.00,geneData
1471_2229_11_33_s6,5.00,0.00,0.00,0.00,0.00,0.00,geneData
16597,2.00,2.00,0.00,1.00,1.00,1.00,expObservation
1745_6150_6_65_s8,3.00,1.00,0.00,0.00,0.00,0.00,geneData
1750_0680_5_7_s1,0.00,0.00,0.00,1.00,1.00,2.00,spMonitoring
183426Supplemental_Tables_S7_to_S10,1.00,0.00,0.00,0.00,1.00,3.00,spOccurrence
18345,2.00,2.00,0.00,2.00,1.00,1.00,spMonitoring
1950_Antarctic_20Sponges_205,7.00,0.00,0.00,2.00,0.00,4.00,taxonIdentification
1988_1991_20NJDEP_20Survey,6.00,0.00,0.00,0.00,1.00,0.00,expObservation
2004cumulative_list2,2.00,0.00,0.00,0.00,0.00,1.00,spMonitoring
2006_154,0.00,0.00,0.00,1.00,0.00,0.00,expObservation
2007rptSpecies,6.00,0.00,0.00,0.00,0.00,0.00,spMonitoring
2007_05_31_sleep2_database_from_bu,1.00,0.00,1.00,1.00,1.00,0.00,spMonitoring
2008_TaxonList,1.00,1.00,0.00,0.00,0.00,0.00,taxonIdentification
2009_russell_et_al_supplementary2,6.00,0.00,0.00,0.00,0.00,0.00,taxonIdentification
2009_TaxonList,1.00,1.00,0.00,0.00,0.00,0.00,taxonIdentification
2010_03_24_OrganismLU,14.00,0.00,0.00,1.00,0.00,0.00,taxonIdentification
2011_Athens_East_Coast_Feb_9th,3.00,0.00,0.00,0.00,0.00,0.00,spMonitoring
2012_20EwN_20Why_20is_20biodiversity_20important,0.00,0.00,0.00,0.00,1.00,3.00,spOccurrence
2012_Rare_Vascular_Plant_List,2.00,0.00,0.00,0.00,0.00,0.00,taxonIdentification
201213all,2.00,0.00,1.00,1.00,4.00,1.00,expObservation
20150728OctanolDataFromONSRefined,0.00,0.00,0.00,1.00,0.00,0.00,expObservation
20150806,8.00,0.00,0.00,0.00,0.00,7.00,geneData
20160929_Sierra,3.00,0.00,0.00,1.00,0.00,0.00,spMonitoring
2043_9113_2_4_s4,5.00,0.00,0.00,0.00,0.00,0.00,spMonitoring
205815Supplemental_Data_Set_S4,2.00,1.00,0.00,1.00,0.00,0.00,geneData
228080revSupp_Tab_S2_proof,1.00,0.00,1.00,1.00,0.00,0.00,taxonIdentification
239_2011_9441_MOESM6_ESM,1.00,1.00,0.00,0.00,0.00,0.00,geneData
268_worldmapper_data,0.00,1.00,0.00,1.00,0.00,1.00,spMonitoring
2emn_2005_tab6_system_summ,4.00,1.00,1.00,0.00,1.00,0.00,taxonIdentification
3060aqinvadult,5.00,0.00,0.00,0.00,2.00,2.00,taxonIdentification
3172093,2.00,0.00,0.00,1.00,0.00,0.00,expObservation
3_Taxon_Report_Sample,3.00,1.00,0.00,0.00,1.00,4.00,spOccurrence
41598_2017_1309_MOESM2_ESM,0.00,0.00,1.00,1.00,0.00,0.00,spOccurrence
4280,2.00,2.00,0.00,1.00,1.00,1.00,spOccurrence
46013,0.00,0.00,0.00,0.00,0.00,0.00,taxonIdentification
5898,2.00,2.00,0.00,1.00,1.00,1.00,spMonitoring
5CExcelLookUps_5COrganismLookUp_Algae03102012005025,16.00,1.00,0.00,2.00,0.00,0.00,taxonIdentification
612017,3.00,0.00,0.00,1.00,0.00,0.00,expObservation
6457,2.00,2.00,0.00,1.00,1.00,1.00,spMonitoring
7427Table4,2.00,0.00,0.00,0.00,0.00,0.00,geneData
7a,3.00,3.00,0.00,3.00,1.00,2.00,taxonIdentification
