1.01,0.02,0.09,0.39,0.05,0.03,taxonIdentification
1.11,0.25,0.00,0.00,0.00,0.00,taxonIdentification
1.11,0.25,0.00,0.00,0.00,0.00,taxonIdentification
1.42,0.00,0.00,0.00,0.00,0.00,taxonIdentification
1.46,0.00,0.00,0.00,0.00,0.00,taxonIdentification
1.46,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.17,0.00,0.00,1.00,0.08,0.00,taxonIdentification
1.42,0.00,0.02,0.00,0.03,0.04,taxonIdentification
1.11,0.25,0.00,0.00,0.00,0.00,taxonIdentification
0.23,0.28,1.00,0.00,0.01,0.00,taxonIdentification
0.51,0.02,0.01,0.00,0.06,0.00,taxonIdentification
0.23,0.28,1.00,0.00,0.01,0.00,taxonIdentification
0.23,0.28,1.00,0.00,0.01,0.00,taxonIdentification
1.00,0.00,0.00,0.00,0.46,0.00,taxonIdentification
1.26,0.00,0.00,0.25,0.00,0.00,taxonIdentification
0.23,0.28,1.00,0.00,0.01,0.00,taxonIdentification
1.29,0.00,0.00,0.00,0.08,0.00,taxonIdentification
0.15,0.13,0.25,0.00,0.01,0.00,taxonIdentification
1.00,0.00,0.04,0.00,0.06,0.00,taxonIdentification
1.36,0.00,0.00,0.00,0.06,0.03,taxonIdentification
1.42,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.37,1.00,0.00,0.00,0.00,0.00,taxonIdentification
0.00,1.04,0.00,0.00,0.19,0.00,taxonIdentification
0.46,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.36,1.00,0.00,0.00,0.04,0.00,taxonIdentification
1.42,0.00,0.00,0.00,0.00,0.04,taxonIdentification
0.49,0.00,0.00,0.00,0.00,0.00,taxonIdentification
1.00,0.06,0.00,0.25,0.15,0.00,taxonIdentification
1.11,0.00,0.00,0.00,0.07,0.00,taxonIdentification
1.00,0.00,0.00,0.00,0.31,0.00,taxonIdentification
1.00,0.00,0.00,0.00,0.00,0.31,taxonIdentification
0.23,0.28,1.00,0.00,0.01,0.00,taxonIdentification
0.42,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.23,0.28,1.00,0.00,0.01,0.00,taxonIdentification
0.23,0.28,1.00,0.00,0.01,0.00,taxonIdentification
0.23,0.28,1.00,0.00,0.01,0.00,taxonIdentification
0.23,0.28,1.00,0.00,0.01,0.00,taxonIdentification
0.23,0.28,1.00,0.00,0.01,0.00,taxonIdentification
0.23,0.28,1.00,0.00,0.01,0.00,taxonIdentification
0.24,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.24,0.00,0.00,0.00,0.00,0.00,taxonIdentification
1.36,0.00,0.00,0.00,0.03,0.00,taxonIdentification
0.23,0.28,1.00,0.00,0.01,0.00,taxonIdentification
0.23,0.28,1.00,0.00,0.01,0.00,taxonIdentification
1.36,0.00,0.00,0.00,0.02,0.06,taxonIdentification
0.02,1.03,0.00,0.00,0.02,0.03,taxonIdentification
1.54,0.00,0.00,0.00,0.01,0.00,taxonIdentification
1.51,0.00,0.00,0.00,0.02,0.00,taxonIdentification
1.51,0.00,0.00,0.00,0.02,0.00,taxonIdentification
0.00,1.25,0.11,0.00,0.00,0.00,taxonIdentification
1.46,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.00,0.36,0.00,0.00,0.07,0.00,taxonIdentification
1.58,0.01,0.00,0.00,0.01,0.00,taxonIdentification
0.25,0.00,0.00,0.00,0.01,0.00,taxonIdentification
0.38,0.11,0.00,0.00,0.00,0.00,taxonIdentification
0.25,0.00,0.00,0.00,0.01,0.00,taxonIdentification
1.51,0.00,0.00,0.00,0.00,0.01,taxonIdentification
1.36,0.04,0.00,0.00,0.06,0.00,taxonIdentification
0.11,0.17,0.00,0.00,0.25,0.00,taxonIdentification
1.12,0.03,0.00,0.11,0.00,0.00,taxonIdentification
1.07,0.04,0.07,0.17,0.02,0.25,taxonIdentification
1.07,0.04,0.07,0.17,0.02,0.25,taxonIdentification
1.51,0.00,0.00,0.00,0.01,0.00,taxonIdentification
1.39,0.06,0.00,0.00,0.00,0.03,taxonIdentification
1.51,0.00,0.00,0.00,0.01,0.00,taxonIdentification
1.50,0.04,0.00,0.00,0.00,0.00,taxonIdentification
0.25,0.00,0.00,0.00,0.16,0.01,taxonIdentification
1.36,0.00,0.00,0.00,0.00,0.06,taxonIdentification
1.53,0.00,0.00,0.00,0.01,0.00,taxonIdentification
1.51,0.00,0.00,0.00,0.02,0.00,taxonIdentification
1.00,0.00,0.01,0.04,0.06,0.11,taxonIdentification
0.00,1.00,0.00,0.25,0.13,0.00,taxonIdentification
0.17,0.25,0.00,0.00,0.00,0.00,taxonIdentification
